Project Name,Project Description,Scale of Project,Tech Stack,Requirements,Budget,Industry
Initiative Kind,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",45413,Mobile Applications
Project Weight,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",40716,Finance
Project Power,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",42810,Mobile Applications
Program Road,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",38946,Finance
Program Eight,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",11241,Healthcare
Initiative Cost,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",41044,Mobile Applications
Program Operation,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",46541,E-commerce
Program Think,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",59935,Healthcare
System Rise,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",50066,Mobile Applications
Project Consumer,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",63732,E-commerce
Initiative Front,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",44609,Mobile Applications
Project Over,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",37280,Finance
Initiative Four,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",64081,Healthcare
System Call,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",14646,E-commerce
Program Partner,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",32722,Healthcare
Project Official,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",2028,Finance
Program Man,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",63094,E-commerce
Initiative Key,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",61459,Mobile Applications
Project Would,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",28013,Healthcare
Program Attack,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",47352,Finance
Initiative Unit,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",25935,Finance
Initiative Why,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",60252,Healthcare
Program Push,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",28953,E-commerce
Initiative Leave,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",63690,Healthcare
System Write,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",48645,Healthcare
Program Anything,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",30258,Mobile Applications
Program Ready,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",31002,Finance
System Summer,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",69420,Healthcare
System Remain,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",73764,Healthcare
Initiative Design,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",20875,E-commerce
System Feel,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",16876,E-commerce
Program Budget,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",64919,Finance
Program Education,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",40231,E-commerce
System Product,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",46251,Finance
System Source,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",23993,E-commerce
Initiative Little,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",38460,E-commerce
Program Teach,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",55521,E-commerce
Initiative News,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",56374,Healthcare
Program Fine,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",43906,E-commerce
System So,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",52810,Finance
Initiative Type,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",31015,Finance
Initiative Pattern,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",185,Finance
Initiative Bill,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",28516,E-commerce
Initiative Make,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",41174,Finance
Program Her,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",25633,Mobile Applications
Program Though,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",42413,E-commerce
Initiative Issue,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",32079,E-commerce
System Green,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",47215,Finance
Program Deal,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",37487,Healthcare
Project This,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",47744,E-commerce
Project Recognize,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",18315,Finance
Program Usually,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",84546,Healthcare
Initiative Another,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",19094,E-commerce
System Management,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",39249,Finance
Project Support,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",86746,Mobile Applications
Initiative Perform,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",69351,Finance
Initiative Boy,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",55489,Finance
System Piece,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",42731,E-commerce
Program Determine,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",62564,E-commerce
Program Night,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",41957,Healthcare
Project They,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",43931,Healthcare
Program Lose,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",43165,Finance
System Continue,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",54764,Mobile Applications
System Relationship,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",59663,Finance
System Economic,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",48210,Finance
Program Whose,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",66502,E-commerce
Program Manage,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",41162,Finance
System What,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",46355,E-commerce
System President,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",50819,E-commerce
Program Significant,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",56643,Finance
Initiative Show,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",38324,Healthcare
Initiative Big,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",33312,Healthcare
System Morning,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",47439,E-commerce
Project Fill,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",73429,Mobile Applications
System Much,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",56317,Finance
Initiative How,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",79496,E-commerce
Program State,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",34095,Finance
Program However,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",69802,Mobile Applications
System Military,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",5254,E-commerce
System Paper,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",8712,Finance
System Piece,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",49067,Finance
Program Attack,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",40009,E-commerce
Initiative Cup,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",47808,Healthcare
System Any,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",41921,Mobile Applications
System Two,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",28917,E-commerce
Initiative Protect,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",48557,Finance
Project Available,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",37873,E-commerce
System Politics,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",11059,Healthcare
Project Away,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",43143,E-commerce
Initiative Entire,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",68100,Finance
Project Describe,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",41174,E-commerce
Initiative Wall,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",67675,Healthcare
Initiative Out,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",31509,Finance
System Place,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",54561,Mobile Applications
Program Process,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",70898,E-commerce
Program Time,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",72340,Mobile Applications
System Age,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",35431,Mobile Applications
System On,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",22150,Healthcare
Project Night,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",48413,E-commerce
Project Air,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",61009,Mobile Applications
System Street,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",49697,Mobile Applications
Program Police,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",16560,Finance
Initiative Agreement,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",26187,Mobile Applications
Initiative Pay,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",23808,E-commerce
Project Argue,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",61103,Finance
Initiative Public,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",22520,Finance
System Against,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",53413,Finance
System Wonder,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",27406,E-commerce
Initiative Begin,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",54366,Mobile Applications
System Pm,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",12315,Healthcare
Program Full,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",42815,Mobile Applications
Program Add,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",52006,Finance
Project Result,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",32346,Healthcare
Project Can,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",23227,E-commerce
Project Fear,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",29892,Finance
System Wear,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",33614,E-commerce
Initiative Anyone,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",37419,Mobile Applications
System Town,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",47206,Healthcare
Initiative Upon,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",84393,Healthcare
System Best,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",52603,Finance
Program Close,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",14013,Healthcare
Initiative Say,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",-3906,Healthcare
System Good,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",58617,Healthcare
Project Event,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",53489,Mobile Applications
Project Subject,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",54616,Finance
Project Gun,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",57569,Healthcare
Project Executive,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",39078,Healthcare
Project Knowledge,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",38691,Finance
Program Every,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",32026,E-commerce
Program Two,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",56917,E-commerce
Program Out,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",59919,E-commerce
Project Itself,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",31418,Finance
Initiative Remain,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",69104,Mobile Applications
Project Customer,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",41891,Finance
Initiative For,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",58721,Finance
Initiative Member,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",-11448,E-commerce
Project Simple,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",39093,E-commerce
Program Camera,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",56179,Mobile Applications
System Become,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",33663,Healthcare
Project Member,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",58051,E-commerce
System May,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",82949,E-commerce
Initiative Safe,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",43923,Finance
Initiative Thus,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",50837,Finance
Program Teacher,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",42528,Finance
System Man,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",52210,E-commerce
Initiative Degree,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",18337,E-commerce
Project Compare,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",29489,Finance
Project Test,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",59227,Healthcare
Program At,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",54035,Healthcare
System Glass,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",2107,Healthcare
Initiative Month,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",49151,Healthcare
Program Sort,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",37604,Finance
System Position,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",45743,Healthcare
Program Effort,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",25659,Mobile Applications
Initiative Four,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",33526,Mobile Applications
Initiative Hotel,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",53557,E-commerce
Program Fire,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",24566,Finance
Initiative Bank,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",67049,Finance
Initiative Fight,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",49104,Finance
Project Easy,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",64181,E-commerce
Initiative Condition,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",51546,Finance
Initiative Until,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",91490,E-commerce
Project Set,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",53573,Finance
Initiative It,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",43221,Finance
Program Standard,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",21780,Mobile Applications
Project Time,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",16701,Mobile Applications
Project Industry,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",50550,Finance
Program Exactly,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",66224,Healthcare
Project Performance,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",25656,Mobile Applications
Project Night,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",47880,Mobile Applications
System Public,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",23987,Finance
Initiative Born,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",22777,Finance
Program Many,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",41609,Mobile Applications
Project Easy,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",62828,Finance
System Pattern,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",52850,Mobile Applications
Project Growth,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",46332,Finance
Initiative Outside,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",45381,E-commerce
Program Court,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",41259,Healthcare
Program Clear,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",18289,Finance
Program Hundred,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",27598,Finance
Initiative Man,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",18106,Mobile Applications
System Economy,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",25701,Finance
Program Popular,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",61312,E-commerce
Project See,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",28786,E-commerce
Initiative Congress,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",48048,Mobile Applications
Initiative Them,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",39229,Finance
Program Body,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",67056,E-commerce
Initiative Assume,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",57697,Mobile Applications
Initiative Cost,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",55429,Mobile Applications
Project Early,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",71082,Finance
Program Affect,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",82652,Mobile Applications
System Herself,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",21951,Mobile Applications
Program Water,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",58441,Healthcare
System Create,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",49871,Mobile Applications
Project Girl,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",48201,Mobile Applications
Initiative Camera,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",58563,E-commerce
Project Per,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",54460,Finance
Project Health,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",77738,Mobile Applications
Initiative Kitchen,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",12506,Mobile Applications
Project Court,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",52046,Healthcare
Program Team,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",71175,Healthcare
System Threat,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",28509,Finance
System Almost,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",44280,E-commerce
Program Against,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",30972,Finance
Project Information,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",80751,E-commerce
Initiative Finish,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",51417,Healthcare
Initiative Author,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",40624,Finance
Initiative Water,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",48858,Mobile Applications
Project Special,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",62515,Mobile Applications
Initiative Me,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",57861,Healthcare
Program Detail,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",44236,E-commerce
Project Blood,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",26570,E-commerce
Initiative Them,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",48371,Healthcare
Project Stop,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",8379,Mobile Applications
Program Open,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",43693,Finance
Project Leg,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",42463,E-commerce
System Leave,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",61823,E-commerce
Project Near,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",36810,Finance
Project Center,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",48641,E-commerce
Project Him,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",23077,Finance
Program Study,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",54310,Healthcare
System Kid,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",27182,Mobile Applications
Program Nothing,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",54708,Healthcare
Program Charge,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",5108,Mobile Applications
Initiative Study,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",48175,Finance
Initiative Put,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",60611,E-commerce
Initiative Product,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",81651,Mobile Applications
Program Single,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",44065,Finance
Initiative National,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",9177,Healthcare
System Writer,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",50210,Mobile Applications
Initiative Population,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",74289,Finance
Initiative Also,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",53971,Finance
Project Service,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",49301,Healthcare
System Five,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",45727,Mobile Applications
System Husband,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",42832,Mobile Applications
Program Worker,Building a data analysis platform,Small,"Python,  pandas","Data visualization, data cleaning",37279,Finance
Project Ever,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",64059,Finance
Initiative Oil,Creating a website for e-commerce,Large,"HTML, CSS, JavaScript","Product catalog, shopping cart",72265,E-commerce
Initiative Where,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",31077,Healthcare
Initiative Blue,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",47898,Mobile Applications
Program Deal,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",54967,Healthcare
Project Different,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",48013,Finance
Program Low,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",54955,Finance
System Indicate,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",37803,Healthcare
Program Product,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",49532,Mobile Applications
System In,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",43409,E-commerce
System Form,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",95125,Finance
Initiative Attack,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",28719,Healthcare
Project Claim,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",54598,Healthcare
Program Apply,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",71502,Healthcare
Program Middle,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",35386,Healthcare
Project Finally,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",10972,Healthcare
Program Detail,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",40339,Healthcare
Project Create,Building a data analysis platform,Medium,"Python,  pandas","Data visualization, data cleaning",21133,Finance
System Itself,Developing a new mobile application,Medium,"React Native, Node.js","User authentication, push notifications",6706,Mobile Applications
Program Attention,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",32790,Healthcare
Initiative Purpose,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",57718,E-commerce
Project At,Creating a website for e-commerce,Small,"HTML, CSS, JavaScript","Product catalog, shopping cart",46419,E-commerce
System High,Building a data analysis platform,Large,"Python,  pandas","Data visualization, data cleaning",18600,Finance
Initiative Amount,Developing a machine learning model,Small,"Python, TensorFlow, Keras","Data preprocessing, model training",23583,Healthcare
System Simple,Developing a machine learning model,Large,"Python, TensorFlow, Keras","Data preprocessing, model training",62527,Healthcare
System Reduce,Developing a new mobile application,Small,"React Native, Node.js","User authentication, push notifications",66152,Mobile Applications
Program Away,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",61377,Healthcare
Project Cup,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",9530,Mobile Applications
Initiative We,Developing a new mobile application,Large,"React Native, Node.js","User authentication, push notifications",51175,Mobile Applications
Program Seat,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",24744,Healthcare
Initiative Police,Creating a website for e-commerce,Medium,"HTML, CSS, JavaScript","Product catalog, shopping cart",30763,E-commerce
Initiative Statement,Developing a machine learning model,Medium,"Python, TensorFlow, Keras","Data preprocessing, model training",15885,Healthcare
